code,uri,label,definition,label_en,label_fr,label_es
BFT,NA,Atlantic bluefin tuna,Thunnus thynnus,Atlantic bluefin tuna,Thon rouge de l'Atlantique,Atún rojo del Atlántico
YFT,NA,Yellowfin tuna,Thunnus albacares,Yellowfin tuna,Albacore,Rabil
ALB,NA,Albacore,Thunnus alalunga,Albacore,Germon,Atún blanco
BET,NA,Bigeye tuna,Thunnus obesus,Bigeye tuna,Thon obèse(=Patudo),Patudo
SKJ,NA,Skipjack tuna,Katsuwonus pelamis,Skipjack tuna,Listao,Listado
SAI,NA,Atlantic sailfish,Istiophorus albicans,Atlantic sailfish,Voilier de l'Atlantique,Pez vela del Atlántico
BUM,NA,Blue marlin,Makaira nigricans,Blue marlin,Makaire bleu,Aguja azul
WHM,NA,Atlantic white marlin,Kajikia albida,Atlantic white marlin,Makaire blanc de l'Atlantique,Aguja blanca del Atlántico
SWO,NA,Swordfish,Xiphias gladius,Swordfish,Espadon,Pez espada
SPF,NA,Longbill spearfish,Tetrapturus pfluegeri,Longbill spearfish,Makaire bécune,Aguja picuda
BLF,NA,Blackfin tuna,Thunnus atlanticus,Blackfin tuna,Thon à nageoires noires,Atún aleta negra
LTA,NA,Little tunny(=Atl.black skipj),Euthynnus alletteratus,Little tunny(=Atl.black skipj),Thonine commune,Bacoreta
BON,NA,Atlantic bonito,Sarda sarda,Atlantic bonito,Bonite à dos rayé,Bonito del Atlántico
FRI,NA,Frigate tuna,Auxis thazard,Frigate tuna,Auxide,Melva
BOP,NA,Plain bonito,Orcynopsis unicolor,Plain bonito,Palomette,Tasarte
WAH,NA,Wahoo,Acanthocybium solandri,Wahoo,Thazard-bâtard,Peto
SSM,NA,Atlantic Spanish mackerel,Scomberomorus maculatus,Atlantic Spanish mackerel,Thazard atlantique,Carite atlántico
KGM,NA,King mackerel,Scomberomorus cavalla,King mackerel,Thazard barré,Carite lucio
MAW,NA,West African Spanish mackerel,Scomberomorus tritor,West African Spanish mackerel,Thazard blanc,Carite lusitánico
CER,NA,Cero,Scomberomorus regalis,Cero,Thazard franc,Carite chinigua
BLT,NA,Bullet tuna,Auxis rochei,Bullet tuna,Bonitou,Melva(=Melvera)
